"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.05,0.95,0.641,0.261,0.484,0.05,0.427,0.255,0.238,0.05,0.146491106406735,0.146491106406735
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.05,0.95,0.06,0.076,0.05,0.068,0.06,0.069,0.05,0.059,0.0256982212813469,0.0130491106406735
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.05,0.95,0.122,0.116,0.069,0.068,0.1,0.102,0.058,0.059,0.052596442562694,0.0399473319220206
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.05,0.95,0.24,0.172,0.124,0.067,0.177,0.152,0.081,0.059,0.081094663844041,0.0684455532033676
"46",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.05,0.95,0.408,0.26,0.217,0.068,0.282,0.229,0.122,0.06,0.111192885125388,0.0985437744847145
"47",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.05,0.95,0.564,0.326,0.337,0.067,0.384,0.284,0.166,0.058,0.142891106406735,0.130241995766062
"48",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.05,0.95,0.737,0.433,0.474,0.067,0.539,0.391,0.228,0.058,0.176189327688082,0.163540217047409
"49",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.05,0.95,0.089,0.164,0.05,0.127,0.09,0.131,0.05,0.087,0.0521964425626941,0.0268982212813472
"50",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.05,0.95,0.183,0.229,0.068,0.122,0.154,0.187,0.057,0.085,0.0798946638440411,0.0545964425626943
"51",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.05,0.95,0.343,0.33,0.124,0.124,0.262,0.274,0.081,0.087,0.109192885125388,0.0838946638440411
"52",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.05,0.95,0.505,0.415,0.209,0.12,0.368,0.352,0.114,0.085,0.140091106406735,0.114792885125388
"53",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.05,0.95,0.675,0.51,0.331,0.119,0.503,0.432,0.165,0.083,0.172589327688082,0.147291106406735
"54",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.05,0.95,0.821,0.622,0.465,0.118,0.657,0.557,0.234,0.084,0.206687548969429,0.181389327688082
"55",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.05,0.95,0.139,0.295,0.05,0.215,0.139,0.226,0.05,0.134,0.0794946638440411,0.0415473319220207
"56",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.05,0.95,0.272,0.404,0.068,0.216,0.235,0.31,0.057,0.13,0.107992885125388,0.0700455532033676
"57",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.05,0.95,0.439,0.498,0.121,0.213,0.347,0.4,0.079,0.131,0.138091106406735,0.100143774484715
"58",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.05,0.95,0.63,0.594,0.213,0.208,0.511,0.495,0.12,0.128,0.169789327688082,0.131841995766062
"59",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.05,0.95,0.783,0.692,0.323,0.203,0.633,0.599,0.163,0.124,0.203087548969429,0.165140217047409
"60",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.05,0.95,0.877,0.788,0.447,0.208,0.724,0.682,0.218,0.124,0.237985770250776,0.200038438328756
"61",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.05,0.95,0.214,0.493,0.05,0.354,0.213,0.377,0.05,0.206,0.107592885125388,0.056996442562694
"62",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.05,0.95,0.373,0.59,0.067,0.345,0.317,0.457,0.057,0.197,0.136891106406735,0.0862946638440413
"63",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.05,0.95,0.556,0.679,0.118,0.334,0.471,0.556,0.079,0.19,0.167789327688082,0.117192885125388
"64",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.05,0.95,0.749,0.784,0.211,0.343,0.617,0.66,0.115,0.189,0.200287548969429,0.149691106406735
"65",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.05,0.95,0.854,0.853,0.311,0.333,0.726,0.753,0.155,0.182,0.234385770250776,0.183789327688082
"66",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.05,0.95,0.932,0.894,0.444,0.322,0.82,0.808,0.218,0.181,0.270083991532123,0.219487548969429
"67",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.05,0.95,0.311,0.665,0.05,0.499,0.301,0.519,0.05,0.285,0.136491106406735,0.0732455532033677
"68",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.05,0.95,0.497,0.76,0.067,0.488,0.449,0.625,0.057,0.268,0.166589327688082,0.103343774484715
"69",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.05,0.95,0.672,0.84,0.116,0.487,0.586,0.709,0.079,0.279,0.198287548969429,0.135041995766061
"70",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.05,0.95,0.807,0.888,0.196,0.477,0.705,0.773,0.112,0.262,0.231585770250776,0.168340217047409
"71",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.05,0.95,0.905,0.932,0.312,0.487,0.807,0.841,0.159,0.259,0.266483991532123,0.203238438328756
"72",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.05,0.95,0.961,0.953,0.436,0.457,0.89,0.89,0.222,0.256,0.30298221281347,0.239736659610103
"73",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"74",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.108,0.067,0.09,0.05,0.085,0.067,0.066,0.05,0.0260982212813471,0.0260982212813471
"75",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.279,0.121,0.213,0.05,0.186,0.12,0.116,0.05,0.0537964425626939,0.0537964425626939
"76",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.1,0.9,0.545,0.203,0.406,0.05,0.349,0.2,0.197,0.05,0.0830946638440412,0.0830946638440412
"77",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.1,0.9,0.775,0.335,0.616,0.05,0.554,0.325,0.307,0.05,0.113992885125388,0.113992885125388
"78",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.915,0.473,0.793,0.05,0.72,0.447,0.422,0.05,0.146491106406735,0.146491106406735
"79",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.1,0.9,0.069,0.103,0.05,0.086,0.07,0.088,0.05,0.068,0.0256982212813469,0.0130491106406735
"80",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.1,0.9,0.194,0.178,0.089,0.085,0.155,0.154,0.066,0.068,0.052596442562694,0.0399473319220206
"81",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.1,0.9,0.436,0.305,0.21,0.087,0.315,0.264,0.116,0.068,0.081094663844041,0.0684455532033676
"82",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.1,0.9,0.685,0.447,0.382,0.085,0.497,0.398,0.183,0.067,0.111192885125388,0.0985437744847145
"83",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.1,0.9,0.874,0.596,0.601,0.085,0.699,0.528,0.31,0.068,0.142891106406735,0.130241995766062
"84",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.1,0.9,0.959,0.736,0.769,0.085,0.832,0.675,0.4,0.066,0.176189327688082,0.163540217047409
"85",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.1,0.9,0.132,0.277,0.05,0.207,0.134,0.215,0.05,0.13,0.0521964425626941,0.0268982212813472
"86",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.1,0.9,0.324,0.4,0.088,0.195,0.267,0.314,0.066,0.122,0.0798946638440411,0.0545964425626943
"87",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.1,0.9,0.578,0.566,0.199,0.2,0.451,0.483,0.115,0.131,0.109192885125388,0.0838946638440411
"88",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.1,0.9,0.798,0.678,0.387,0.194,0.635,0.584,0.196,0.124,0.140091106406735,0.114792885125388
"89",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.1,0.9,0.939,0.824,0.583,0.194,0.824,0.756,0.29,0.12,0.172589327688082,0.147291106406735
"90",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.1,0.9,0.982,0.889,0.758,0.188,0.897,0.83,0.395,0.118,0.206687548969429,0.181389327688082
