nmz,ndz,a,c,e,g,b,x,prs,A,t1,t2,t3,t4,t5,t6
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0.05,0,0.1,0.9,0.734,0.29,0.266,0.734,0.29,0.266
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0,0,0.15,0.85,0.968,0.931,0.05,0.968,0.931,0.05
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0,0,0.15,0.85,0.967,0.935,0.05,0.967,0.935,0.05
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0,0,0.15,0.85,0.469,0.437,0.05,0.469,0.437,0.05
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0,0,0.15,0.85,0.471,0.446,0.05,0.471,0.446,0.05
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0.1,0,0.15,0.85,0.968,0.05,0.928,0.968,0.05,0.928
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0.1,0,0.15,0.85,0.96,0.05,0.922,0.96,0.05,0.922
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0.1,0,0.15,0.85,1,0.896,0.904,1,0.896,0.904
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0.1,0,0.15,0.85,1,0.897,0.895,1,0.897,0.895
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0.1,0,0.15,0.85,0.999,0.39,0.917,0.999,0.39,0.917
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0.1,0,0.15,0.85,0.999,0.393,0.909,0.999,0.393,0.909
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0.05,0,0.15,0.85,0.437,0.05,0.406,0.437,0.05,0.406
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0.05,0,0.15,0.85,0.419,0.05,0.397,0.419,0.05,0.397
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0.05,0,0.15,0.85,0.999,0.915,0.377,0.999,0.915,0.377
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0.05,0,0.15,0.85,0.999,0.917,0.367,0.999,0.917,0.367
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0.05,0,0.15,0.85,0.914,0.413,0.392,0.914,0.413,0.392
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0.05,0,0.15,0.85,0.904,0.419,0.382,0.904,0.419,0.382
