"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.05,0.95,0.237,0.123,0.175,0.063,0.163,0.124,0.096,0.059,0.0810946638440408,0.0684455532033674
"46",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.05,0.95,0.422,0.166,0.324,0.063,0.272,0.171,0.158,0.059,0.111192885125388,0.0985437744847144
"47",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.05,0.95,0.62,0.223,0.503,0.063,0.409,0.233,0.235,0.058,0.142891106406735,0.130241995766061
"48",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.05,0.95,0.806,0.275,0.703,0.062,0.552,0.294,0.346,0.058,0.176189327688082,0.163540217047409
"49",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.05,0.95,0.059,0.117,0.05,0.107,0.068,0.107,0.05,0.088,0.052196442562694,0.0268982212813471
"50",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.05,0.95,0.129,0.153,0.079,0.102,0.121,0.145,0.061,0.084,0.079894663844041,0.0545964425626941
"51",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.05,0.95,0.268,0.214,0.168,0.106,0.206,0.207,0.095,0.087,0.109192885125388,0.083894663844041
"52",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.05,0.95,0.474,0.261,0.326,0.101,0.329,0.258,0.153,0.083,0.140091106406735,0.114792885125388
"53",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.05,0.95,0.666,0.315,0.507,0.098,0.472,0.321,0.238,0.082,0.172589327688082,0.147291106406735
"54",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.05,0.95,0.817,0.4,0.673,0.1,0.594,0.411,0.325,0.083,0.206687548969429,0.181389327688082
"55",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.05,0.95,0.07,0.201,0.05,0.177,0.092,0.18,0.05,0.134,0.079494663844041,0.0415473319220205
"56",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.05,0.95,0.163,0.248,0.082,0.171,0.16,0.229,0.062,0.13,0.107992885125388,0.0700455532033675
"57",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.05,0.95,0.32,0.325,0.17,0.172,0.274,0.311,0.097,0.132,0.138091106406735,0.100143774484715
"58",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.05,0.95,0.507,0.395,0.312,0.17,0.393,0.373,0.153,0.128,0.169789327688082,0.131841995766062
"59",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.05,0.95,0.695,0.467,0.484,0.166,0.541,0.463,0.23,0.127,0.203087548969429,0.165140217047409
"60",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.05,0.95,0.854,0.531,0.678,0.161,0.675,0.531,0.327,0.123,0.237985770250776,0.200038438328756
"61",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.05,0.95,0.085,0.316,0.05,0.278,0.125,0.28,0.05,0.203,0.107592885125388,0.0569964425626939
"62",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.05,0.95,0.195,0.389,0.08,0.272,0.219,0.355,0.062,0.195,0.136891106406735,0.0862946638440412
"63",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.05,0.95,0.356,0.459,0.163,0.263,0.336,0.432,0.095,0.192,0.167789327688082,0.117192885125388
"64",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.05,0.95,0.551,0.545,0.302,0.266,0.483,0.52,0.156,0.195,0.200287548969429,0.149691106406735
"65",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.05,0.95,0.737,0.599,0.483,0.255,0.616,0.578,0.233,0.184,0.234385770250776,0.183789327688082
"66",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.05,0.95,0.867,0.64,0.655,0.239,0.728,0.635,0.322,0.177,0.270083991532123,0.219487548969429
"67",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.05,0.95,0.104,0.456,0.05,0.404,0.164,0.403,0.05,0.293,0.136491106406735,0.0732455532033676
"68",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.05,0.95,0.229,0.515,0.079,0.381,0.274,0.469,0.062,0.275,0.166589327688082,0.103343774484715
"69",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.05,0.95,0.404,0.584,0.165,0.374,0.393,0.544,0.095,0.27,0.198287548969429,0.135041995766061
"70",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.05,0.95,0.607,0.636,0.309,0.358,0.54,0.612,0.152,0.261,0.231585770250776,0.168340217047409
"71",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.05,0.95,0.776,0.709,0.488,0.361,0.658,0.694,0.228,0.268,0.266483991532123,0.203238438328756
"72",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.05,0.95,0.894,0.742,0.66,0.336,0.793,0.731,0.331,0.246,0.30298221281347,0.239736659610103
"73",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"74",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.127,0.061,0.116,0.05,0.088,0.062,0.075,0.05,0.026098221281347,0.026098221281347
"75",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.359,0.093,0.315,0.05,0.204,0.1,0.15,0.05,0.0537964425626938,0.0537964425626938
"76",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.1,0.9,0.649,0.144,0.582,0.05,0.39,0.16,0.282,0.05,0.0830946638440411,0.0830946638440411
"77",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.1,0.9,0.877,0.215,0.825,0.05,0.597,0.245,0.439,0.05,0.113992885125388,0.113992885125388
"78",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.967,0.303,0.941,0.05,0.754,0.344,0.578,0.05,0.146491106406735,0.146491106406735
"79",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.1,0.9,0.055,0.084,0.05,0.079,0.06,0.079,0.05,0.069,0.0256982212813468,0.0130491106406734
"80",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.1,0.9,0.17,0.133,0.114,0.078,0.138,0.129,0.075,0.068,0.0525964425626939,0.0399473319220205
"81",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.1,0.9,0.431,0.199,0.314,0.077,0.286,0.198,0.149,0.067,0.0810946638440408,0.0684455532033674
"82",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.1,0.9,0.725,0.301,0.581,0.077,0.502,0.314,0.268,0.068,0.111192885125388,0.0985437744847144
"83",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.1,0.9,0.908,0.375,0.821,0.075,0.685,0.394,0.435,0.067,0.142891106406735,0.130241995766061
