"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","Smz","Sdz"
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.05,0.95,0.12,0.069,0.12,0,0.12,0.08,0.12,0,0.0830946638440411,0.0830946638440411
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.05,0.95,0.16,0.091,0.16,0,0.16,0.107,0.16,0,0.113992885125388,0.113992885125388
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.05,0.95,0.2,0.114,0.2,0,0.2,0.133,0.2,0,0.146491106406735,0.146491106406735
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.05,0.95,0.01,0.04,0,0.04,0.02,0.04,0,0.04,0.0256982212813468,0.0130491106406734
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.05,0.95,0.05,0.063,0.04,0.04,0.06,0.067,0.04,0.04,0.0525964425626939,0.0399473319220205
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.05,0.95,0.09,0.086,0.08,0.04,0.1,0.093,0.08,0.04,0.0810946638440408,0.0684455532033674
"46",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.05,0.95,0.13,0.109,0.12,0.04,0.14,0.12,0.12,0.04,0.111192885125388,0.0985437744847144
"47",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.05,0.95,0.17,0.131,0.16,0.04,0.18,0.147,0.16,0.04,0.142891106406735,0.130241995766061
"48",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.05,0.95,0.21,0.154,0.2,0.04,0.22,0.173,0.2,0.04,0.176189327688082,0.163540217047409
"49",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.05,0.95,0.02,0.08,0,0.08,0.04,0.08,0,0.08,0.052196442562694,0.0268982212813471
"50",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.05,0.95,0.06,0.103,0.04,0.08,0.08,0.107,0.04,0.08,0.079894663844041,0.0545964425626941
"51",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.05,0.95,0.1,0.126,0.08,0.08,0.12,0.133,0.08,0.08,0.109192885125388,0.083894663844041
"52",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.05,0.95,0.14,0.149,0.12,0.08,0.16,0.16,0.12,0.08,0.140091106406735,0.114792885125388
"53",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.05,0.95,0.18,0.171,0.16,0.08,0.2,0.187,0.16,0.08,0.172589327688082,0.147291106406735
"54",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.05,0.95,0.22,0.194,0.2,0.08,0.24,0.213,0.2,0.08,0.206687548969429,0.181389327688082
"55",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.05,0.95,0.03,0.12,0,0.12,0.06,0.12,0,0.12,0.079494663844041,0.0415473319220205
"56",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.05,0.95,0.07,0.143,0.04,0.12,0.1,0.147,0.04,0.12,0.107992885125388,0.0700455532033675
"57",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.05,0.95,0.11,0.166,0.08,0.12,0.14,0.173,0.08,0.12,0.138091106406735,0.100143774484715
"58",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.05,0.95,0.15,0.189,0.12,0.12,0.18,0.2,0.12,0.12,0.169789327688082,0.131841995766062
"59",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.05,0.95,0.19,0.211,0.16,0.12,0.22,0.227,0.16,0.12,0.203087548969429,0.165140217047409
"60",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.05,0.95,0.23,0.234,0.2,0.12,0.26,0.253,0.2,0.12,0.237985770250776,0.200038438328756
"61",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.05,0.95,0.04,0.16,0,0.16,0.08,0.16,0,0.16,0.107592885125388,0.0569964425626939
"62",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.05,0.95,0.08,0.183,0.04,0.16,0.12,0.187,0.04,0.16,0.136891106406735,0.0862946638440412
"63",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.05,0.95,0.12,0.206,0.08,0.16,0.16,0.213,0.08,0.16,0.167789327688082,0.117192885125388
"64",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.05,0.95,0.16,0.229,0.12,0.16,0.2,0.24,0.12,0.16,0.200287548969429,0.149691106406735
"65",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.05,0.95,0.2,0.251,0.16,0.16,0.24,0.267,0.16,0.16,0.234385770250776,0.183789327688082
"66",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.05,0.95,0.24,0.274,0.2,0.16,0.28,0.293,0.2,0.16,0.270083991532123,0.219487548969429
"67",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.05,0.95,0.05,0.2,0,0.2,0.1,0.2,0,0.2,0.136491106406735,0.0732455532033676
"68",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.05,0.95,0.09,0.223,0.04,0.2,0.14,0.227,0.04,0.2,0.166589327688082,0.103343774484715
"69",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.05,0.95,0.13,0.246,0.08,0.2,0.18,0.253,0.08,0.2,0.198287548969429,0.135041995766061
"70",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.05,0.95,0.17,0.269,0.12,0.2,0.22,0.28,0.12,0.2,0.231585770250776,0.168340217047409
"71",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.05,0.95,0.21,0.291,0.16,0.2,0.26,0.307,0.16,0.2,0.266483991532123,0.203238438328756
"72",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.05,0.95,0.25,0.314,0.2,0.2,0.3,0.333,0.2,0.2,0.30298221281347,0.239736659610103
"73",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,-1.11022302462516e-16,-1.11022302462516e-16
"74",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.04,0.023,0.04,0,0.04,0.027,0.04,0,0.026098221281347,0.026098221281347
"75",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.08,0.046,0.08,0,0.08,0.053,0.08,0,0.0537964425626938,0.0537964425626938
"76",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.1,0.9,0.12,0.069,0.12,0,0.12,0.08,0.12,0,0.0830946638440411,0.0830946638440411
"77",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.1,0.9,0.16,0.091,0.16,0,0.16,0.107,0.16,0,0.113992885125388,0.113992885125388
"78",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.2,0.114,0.2,0,0.2,0.133,0.2,0,0.146491106406735,0.146491106406735
"79",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.1,0.9,0.01,0.04,0,0.04,0.02,0.04,0,0.04,0.0256982212813468,0.0130491106406734
"80",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.1,0.9,0.05,0.063,0.04,0.04,0.06,0.067,0.04,0.04,0.0525964425626939,0.0399473319220205
"81",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.1,0.9,0.09,0.086,0.08,0.04,0.1,0.093,0.08,0.04,0.0810946638440408,0.0684455532033674
"82",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.1,0.9,0.13,0.109,0.12,0.04,0.14,0.12,0.12,0.04,0.111192885125388,0.0985437744847144
"83",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.1,0.9,0.17,0.131,0.16,0.04,0.18,0.147,0.16,0.04,0.142891106406735,0.130241995766061
"84",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.1,0.9,0.21,0.154,0.2,0.04,0.22,0.173,0.2,0.04,0.176189327688082,0.163540217047409
"85",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.1,0.9,0.02,0.08,0,0.08,0.04,0.08,0,0.08,0.052196442562694,0.0268982212813471
"86",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.1,0.9,0.06,0.103,0.04,0.08,0.08,0.107,0.04,0.08,0.079894663844041,0.0545964425626941
"87",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.1,0.9,0.1,0.126,0.08,0.08,0.12,0.133,0.08,0.08,0.109192885125388,0.083894663844041
"88",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.1,0.9,0.14,0.149,0.12,0.08,0.16,0.16,0.12,0.08,0.140091106406735,0.114792885125388
"89",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.1,0.9,0.18,0.171,0.16,0.08,0.2,0.187,0.16,0.08,0.172589327688082,0.147291106406735
"90",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.1,0.9,0.22,0.194,0.2,0.08,0.24,0.213,0.2,0.08,0.206687548969429,0.181389327688082
"91",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.1,0.9,0.03,0.12,0,0.12,0.06,0.12,0,0.12,0.079494663844041,0.0415473319220205
"92",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.1,0.9,0.07,0.143,0.04,0.12,0.1,0.147,0.04,0.12,0.107992885125388,0.0700455532033675
"93",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.1,0.9,0.11,0.166,0.08,0.12,0.14,0.173,0.08,0.12,0.138091106406735,0.100143774484715
"94",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.1,0.9,0.15,0.189,0.12,0.12,0.18,0.2,0.12,0.12,0.169789327688082,0.131841995766062
"95",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.1,0.9,0.19,0.211,0.16,0.12,0.22,0.227,0.16,0.12,0.203087548969429,0.165140217047409
"96",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.1,0.9,0.23,0.234,0.2,0.12,0.26,0.253,0.2,0.12,0.237985770250776,0.200038438328756
"97",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.1,0.9,0.04,0.16,0,0.16,0.08,0.16,0,0.16,0.107592885125388,0.0569964425626939
"98",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.1,0.9,0.08,0.183,0.04,0.16,0.12,0.187,0.04,0.16,0.136891106406735,0.0862946638440412
"99",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.1,0.9,0.12,0.206,0.08,0.16,0.16,0.213,0.08,0.16,0.167789327688082,0.117192885125388
"100",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.1,0.9,0.16,0.229,0.12,0.16,0.2,0.24,0.12,0.16,0.200287548969429,0.149691106406735
"101",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.1,0.9,0.2,0.251,0.16,0.16,0.24,0.267,0.16,0.16,0.234385770250776,0.183789327688082
"102",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.1,0.9,0.24,0.274,0.2,0.16,0.28,0.293,0.2,0.16,0.270083991532123,0.219487548969429
"103",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.05,0.2,0,0.2,0.1,0.2,0,0.2,0.136491106406735,0.0732455532033676
