"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","Smz","Sdz"
"56",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.05,0.95,0.159,0.216,0.22,0.115,0.058,0.307,0.245,0.22,0.067,0.111192885125388,0.0985437744847144
"57",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.05,0.95,0.192,0.276,0.351,0.119,0.086,0.335,0.417,0.212,0.121,0.140091106406735,0.114792885125388
"58",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.05,0.95,0.227,0.318,0.485,0.112,0.123,0.365,0.583,0.206,0.205,0.169789327688082,0.131841995766062
"59",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.05,0.95,0.266,0.372,0.649,0.113,0.191,0.404,0.762,0.205,0.334,0.200287548969429,0.149691106406735
"60",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.05,0.95,0.308,0.429,0.797,0.11,0.265,0.425,0.891,0.195,0.474,0.231585770250776,0.168340217047409
"61",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.05,0.95,0.192,0.277,0.174,0.173,0.05,0.437,0.18,0.355,0.05,0.113992885125388,0.113992885125388
"62",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.05,0.95,0.228,0.318,0.304,0.164,0.058,0.452,0.334,0.331,0.067,0.142891106406735,0.130241995766061
"63",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.05,0.95,0.267,0.388,0.439,0.166,0.083,0.491,0.516,0.327,0.117,0.172589327688082,0.147291106406735
"64",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.05,0.95,0.308,0.44,0.594,0.163,0.126,0.528,0.705,0.326,0.213,0.203087548969429,0.165140217047409
"65",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.05,0.95,0.352,0.484,0.733,0.155,0.181,0.535,0.828,0.301,0.317,0.234385770250776,0.183789327688082
"66",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.05,0.95,0.396,0.551,0.839,0.155,0.251,0.585,0.925,0.306,0.464,0.266483991532123,0.203238438328756
"67",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.05,0.95,0.267,0.395,0.249,0.237,0.05,0.593,0.255,0.491,0.05,0.146491106406735,0.146491106406735
"68",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.05,0.95,0.309,0.463,0.383,0.246,0.059,0.634,0.423,0.49,0.067,0.176189327688082,0.163540217047409
"69",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.05,0.95,0.352,0.501,0.529,0.223,0.081,0.639,0.603,0.455,0.115,0.206687548969429,0.181389327688082
"70",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.05,0.95,0.397,0.562,0.662,0.233,0.127,0.684,0.769,0.465,0.206,0.237985770250776,0.200038438328756
"71",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.05,0.95,0.443,0.611,0.794,0.216,0.176,0.694,0.882,0.438,0.314,0.270083991532123,0.219487548969429
