A,C,E,g,b,PGS,p1,p2,p3,p4,p5,p6,p7,p8,p9,Smz,Sdz
0.4,0.3,0.3,0.05,0,0.15,0.23,0.35,0.22,0.22,0.05,0.51,0.22,0.42,0.05,7%,7%
0.4,0.3,0.3,0.05,0.05,0.15,0.44,0.64,0.81,0.21,0.22,0.7,0.9,0.42,0.4,14%,11%
0.4,0.3,0.3,0.05,0.1,0.15,0.66,0.83,1,0.19,0.66,0.81,1,0.38,0.92,21%,15%
0.4,0.3,0.3,0.1,0,0.15,0.66,0.85,0.62,0.61,0.05,0.98,0.64,0.94,0.05,15%,15%
0.4,0.3,0.3,0.1,0.05,0.15,0.83,0.94,0.98,0.55,0.21,0.99,0.99,0.91,0.38,22%,19%
0.4,0.3,0.3,0.1,0.1,0.15,0.93,0.99,1,0.56,0.64,1,1,0.9,0.92,30%,24%
0.5,0.2,0.3,0,0,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0%,0%
0.5,0.2,0.3,0,0.05,0.15,0.1,0.12,0.41,0.05,0.24,0.08,0.53,0.05,0.4,7%,4%
0.5,0.2,0.3,0,0.1,0.15,0.23,0.34,0.94,0.05,0.7,0.17,0.98,0.05,0.93,15%,8%
0.5,0.2,0.3,0.05,0,0.15,0.23,0.34,0.22,0.21,0.05,0.53,0.22,0.43,0.05,8%,8%
0.5,0.2,0.3,0.05,0.05,0.15,0.44,0.61,0.81,0.2,0.22,0.69,0.88,0.41,0.39,15%,12%
0.5,0.2,0.3,0.05,0.1,0.15,0.66,0.86,1,0.2,0.66,0.83,1,0.4,0.91,24%,17%
0.5,0.2,0.3,0.1,0,0.15,0.66,0.85,0.63,0.59,0.05,0.97,0.63,0.93,0.05,16%,16%
0.5,0.2,0.3,0.1,0.05,0.15,0.83,0.96,0.97,0.58,0.21,0.99,0.99,0.91,0.37,24%,21%
0.5,0.2,0.3,0.1,0.1,0.15,0.93,0.99,1,0.54,0.62,1,1,0.9,0.91,33%,26%
