"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","Smz","Sdz"
"28",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.02,0.98,0.452,0.457,0.154,0.158,0.452,0.456,0.154,0.158,0.452,0.457,0.154,0.158,0.359,0.368,0.092,0.101,0.234385770250776,0.183789327688082
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.02,0.98,0.521,0.574,0.151,0.22,0.521,0.574,0.151,0.22,0.521,0.574,0.151,0.22,0.426,0.46,0.091,0.13,0.266483991532123,0.203238438328756
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.311,0.132,0.226,0.05,0.311,0.132,0.226,0.05,0.311,0.132,0.226,0.05,0.202,0.128,0.121,0.05,0.146491106406735,0.146491106406735
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.02,0.98,0.367,0.203,0.221,0.056,0.367,0.203,0.221,0.056,0.367,0.203,0.221,0.056,0.251,0.183,0.119,0.053,0.176189327688082,0.163540217047409
"32",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.02,0.98,0.428,0.294,0.217,0.076,0.428,0.294,0.217,0.076,0.428,0.294,0.217,0.076,0.308,0.252,0.118,0.063,0.206687548969429,0.181389327688082
"33",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.02,0.98,0.493,0.402,0.212,0.109,0.493,0.402,0.212,0.109,0.493,0.402,0.212,0.109,0.37,0.333,0.116,0.078,0.237985770250776,0.200038438328756
"34",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.02,0.98,0.559,0.518,0.208,0.156,0.559,0.518,0.208,0.156,0.559,0.518,0.208,0.156,0.436,0.423,0.114,0.1,0.270083991532123,0.219487548969429
"35",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.625,0.633,0.204,0.217,0.625,0.633,0.204,0.217,0.625,0.633,0.204,0.217,0.504,0.516,0.112,0.127,0.30298221281347,0.239736659610103
"36",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.05,0.95,0.058,0.076,0.05,0.068,0.058,0.076,0.05,0.068,0.058,0.076,0.05,0.068,0.06,0.069,0.05,0.059,0.0256982212813468,0.0130491106406734
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.05,0.95,0.083,0.159,0.05,0.124,0.083,0.159,0.05,0.124,0.083,0.159,0.05,0.124,0.089,0.127,0.05,0.087,0.052196442562694,0.0268982212813471
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.05,0.95,0.128,0.299,0.05,0.219,0.128,0.299,0.05,0.219,0.128,0.299,0.05,0.219,0.14,0.227,0.05,0.134,0.079494663844041,0.0415473319220205
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.05,0.95,0.194,0.482,0.05,0.349,0.194,0.482,0.05,0.349,0.194,0.482,0.05,0.349,0.214,0.364,0.05,0.199,0.107592885125388,0.0569964425626939
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.05,0.95,0.283,0.67,0.05,0.5,0.283,0.67,0.05,0.5,0.283,0.67,0.05,0.5,0.309,0.52,0.05,0.281,0.136491106406735,0.0732455532033676
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.05,0.95,0.078,0.058,0.07,0.05,0.078,0.058,0.07,0.05,0.078,0.058,0.07,0.05,0.066,0.058,0.058,0.05,0.026098221281347,0.026098221281347
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.05,0.95,0.117,0.115,0.069,0.068,0.117,0.115,0.069,0.068,0.117,0.115,0.069,0.068,0.101,0.102,0.058,0.059,0.0525964425626939,0.0399473319220205
