"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","e10","e11","e12","e13","e14","e15","e16","Smz","Sdz"
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.1,0.9,0.047,0.047,0.03,0.03,0.046,0.047,0.03,0.03,0.046,0.047,0.03,0.03,0.053,0.05,0.03,0.03,0.0803946638440411,0.0614209978830307
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.04,0,0.1,0.9,0.052,0.057,0.03,0.04,0.052,0.057,0.03,0.04,0.052,0.057,0.03,0.04,0.061,0.06,0.03,0.04,0.0943437744847144,0.0690455532033676
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.05,0,0.1,0.9,0.058,0.067,0.03,0.05,0.058,0.067,0.03,0.05,0.058,0.067,0.03,0.05,0.069,0.07,0.03,0.05,0.108492885125388,0.0768701085237042
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.06,0,0.1,0.9,0.064,0.077,0.03,0.06,0.064,0.077,0.03,0.06,0.064,0.077,0.03,0.06,0.077,0.08,0.03,0.06,0.122841995766062,0.0848946638440409
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.07,0,0.1,0.9,0.07,0.087,0.03,0.07,0.07,0.087,0.03,0.07,0.07,0.087,0.03,0.07,0.085,0.09,0.03,0.07,0.137391106406735,0.0931192191643779
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.08,0,0.1,0.9,0.076,0.097,0.03,0.08,0.076,0.097,0.03,0.08,0.076,0.097,0.03,0.08,0.093,0.1,0.03,0.08,0.152140217047409,0.101543774484715
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.09,0,0.1,0.9,0.082,0.107,0.03,0.09,0.082,0.107,0.03,0.09,0.082,0.107,0.03,0.09,0.102,0.11,0.03,0.09,0.167089327688082,0.110168329805051
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.1,0,0.1,0.9,0.089,0.117,0.03,0.1,0.089,0.117,0.03,0.1,0.089,0.117,0.03,0.1,0.11,0.12,0.03,0.1,0.182238438328755,0.118992885125388
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.04,0.023,0.04,0,0.04,0.023,0.04,0,0.04,0.023,0.04,0,0.04,0.027,0.04,0,0.0537964425626938,0.0537964425626938
"46",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.01,0,0.1,0.9,0.045,0.033,0.04,0.01,0.045,0.033,0.04,0.01,0.045,0.033,0.04,0.01,0.048,0.037,0.04,0.01,0.0673455532033675,0.0610209978830305
