"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","Smz","Sdz"
"90",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.01,0,0.1,0.9,0.376,0.547,0.418,0.297,0.054,0.746,0.45,0.608,0.058,0.128341995766062,0.122017440445725
"91",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.1,0.9,0.411,0.57,0.538,0.286,0.067,0.75,0.588,0.589,0.085,0.142891106406735,0.130241995766061
"92",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.03,0,0.1,0.9,0.446,0.621,0.656,0.286,0.088,0.791,0.723,0.601,0.129,0.157640217047409,0.138666551086398
"93",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.1,0.9,0.481,0.647,0.741,0.286,0.121,0.785,0.809,0.58,0.194,0.172589327688082,0.147291106406735
"94",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.05,0,0.1,0.9,0.516,0.721,0.821,0.302,0.163,0.834,0.891,0.61,0.282,0.187738438328756,0.156115661727072
"95",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.1,0.9,0.551,0.726,0.869,0.276,0.199,0.826,0.94,0.573,0.365,0.203087548969429,0.165140217047409
"96",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.07,0,0.1,0.9,0.585,0.777,0.919,0.287,0.26,0.839,0.97,0.568,0.474,0.218636659610103,0.174364772367746
"97",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.1,0.9,0.618,0.786,0.961,0.265,0.315,0.85,0.99,0.557,0.59,0.234385770250776,0.183789327688082
"98",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.09,0,0.1,0.9,0.65,0.807,0.976,0.266,0.391,0.857,0.995,0.546,0.68,0.25033488089145,0.193413883008419
"99",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.1,0.9,0.681,0.857,0.991,0.27,0.456,0.882,0.999,0.554,0.777,0.266483991532123,0.203238438328756
"100",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0,0,0.1,0.9,0.411,0.584,0.379,0.372,0.05,0.815,0.396,0.714,0.05,0.130041995766061,0.130041995766061
"101",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.01,0,0.1,0.9,0.446,0.628,0.48,0.358,0.054,0.824,0.517,0.7,0.058,0.144591106406735,0.138266551086399
"102",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.02,0,0.1,0.9,0.481,0.671,0.613,0.348,0.066,0.83,0.67,0.677,0.084,0.159340217047409,0.146691106406735
"103",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.03,0,0.1,0.9,0.517,0.706,0.693,0.353,0.088,0.856,0.77,0.689,0.128,0.174289327688082,0.155315661727072
"104",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.04,0,0.1,0.9,0.552,0.748,0.795,0.357,0.12,0.868,0.858,0.686,0.193,0.189438438328756,0.164140217047409
"105",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.05,0,0.1,0.9,0.586,0.739,0.865,0.327,0.158,0.873,0.925,0.671,0.278,0.204787548969429,0.173164772367745
"106",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.06,0,0.1,0.9,0.619,0.824,0.915,0.361,0.211,0.906,0.961,0.697,0.377,0.220336659610103,0.182389327688082
"107",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.07,0,0.1,0.9,0.651,0.838,0.94,0.354,0.265,0.902,0.979,0.669,0.469,0.236085770250776,0.191813883008419
"108",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.08,0,0.1,0.9,0.682,0.865,0.971,0.34,0.318,0.91,0.993,0.658,0.578,0.25203488089145,0.201438438328756
"109",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.09,0,0.1,0.9,0.711,0.879,0.986,0.337,0.398,0.922,0.998,0.659,0.683,0.268183991532123,0.211262993649092
"110",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.1,0,0.1,0.9,0.739,0.904,0.993,0.344,0.481,0.935,0.999,0.663,0.766,0.284533102172797,0.221287548969429
"111",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.481,0.678,0.448,0.433,0.05,0.881,0.476,0.794,0.05,0.146491106406735,0.146491106406735
"112",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.01,0,0.1,0.9,0.517,0.71,0.593,0.419,0.054,0.892,0.623,0.784,0.059,0.161240217047409,0.154915661727072
"113",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.1,0.9,0.552,0.73,0.666,0.407,0.067,0.896,0.711,0.773,0.084,0.176189327688082,0.163540217047409
"114",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.03,0,0.1,0.9,0.586,0.777,0.759,0.407,0.087,0.912,0.818,0.772,0.127,0.191338438328756,0.172364772367745
"115",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.1,0.9,0.619,0.79,0.83,0.398,0.116,0.912,0.893,0.758,0.191,0.206687548969429,0.181389327688082
"116",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0.651,0.797,0.899,0.38,0.157,0.923,0.945,0.757,0.274,0.222236659610103,0.190613883008419
"117",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.1,0.9,0.682,0.859,0.944,0.4,0.204,0.928,0.977,0.743,0.367,0.237985770250776,0.200038438328756
"118",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.07,0,0.1,0.9,0.712,0.886,0.962,0.406,0.257,0.945,0.987,0.757,0.462,0.25393488089145,0.209662993649093
"119",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.1,0.9,0.739,0.894,0.979,0.394,0.32,0.949,0.995,0.753,0.58,0.270083991532123,0.219487548969429
"120",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.09,0,0.1,0.9,0.765,0.913,0.99,0.389,0.383,0.949,0.998,0.733,0.677,0.286433102172797,0.229512104289766
"121",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.79,0.917,0.997,0.385,0.49,0.957,1,0.74,0.787,0.30298221281347,0.239736659610103
