"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","e10","e11","e12","e13","e14","e15","e16","Smz","Sdz"
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0.129,0.107,0.1,0.05,0.129,0.107,0.1,0.05,0.13,0.107,0.1,0.05,0.14,0.117,0.1,0.05,"22.22%","19.06%"
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.162,0.157,0.1,0.1,0.162,0.157,0.1,0.1,0.162,0.157,0.1,0.1,0.182,0.167,0.1,0.1,"30.30%","23.97%"
"46",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%"
"47",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.1,0.9,0.026,0.05,0,0.05,0.026,0.05,0,0.05,0.026,0.05,0,0.05,0.037,0.05,0,0.05,"7.32%","3.79%"
"48",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.1,0.9,0.055,0.1,0,0.1,0.055,0.1,0,0.1,0.055,0.1,0,0.1,0.077,0.1,0,0.1,"15.14%","8.07%"
"49",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.1,0.9,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.033,0.05,0,"7.57%","7.57%"
"50",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.1,0.9,0.077,0.079,0.05,0.05,0.077,0.079,0.05,0.05,0.077,0.079,0.05,0.05,0.088,0.083,0.05,0.05,"15.39%","11.86%"
"51",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.1,0.9,0.107,0.129,0.05,0.1,0.107,0.129,0.05,0.1,0.107,0.129,0.05,0.1,0.129,0.133,0.05,0.1,"23.71%","16.64%"
"52",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.1,0.9,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.067,0.1,0,"16.14%","16.14%"
"53",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.1,0.9,0.129,0.108,0.1,0.05,0.128,0.108,0.1,0.05,0.128,0.108,0.1,0.05,0.139,0.117,0.1,0.05,"24.46%","20.93%"
"54",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.1,0.9,0.16,0.158,0.1,0.1,0.16,0.158,0.1,0.1,0.16,0.157,0.1,0.1,0.18,0.167,0.1,0.1,"33.28%","26.21%"
"55",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%"
"56",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.027,0.05,0,0.05,0.028,0.05,0,0.05,0.027,0.05,0,0.05,0.039,0.05,0,0.05,"6.57%","3.41%"
