"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","e10","e11","e12","e13","e14","e15","e16","Smz","Sdz"
"48",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.05,0.95,0.079,0.111,0.02,0.1,0.079,0.111,0.02,0.1,0.079,0.111,0.02,0.1,0.1,0.113,0.02,0.1,0.166589327688082,0.103343774484715
"49",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.05,0.95,0.04,0.023,0.04,0,0.04,0.023,0.04,0,0.04,0.023,0.04,0,0.04,0.027,0.04,0,0.0537964425626938,0.0537964425626938
"50",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.05,0.95,0.051,0.043,0.04,0.02,0.051,0.043,0.04,0.02,0.051,0.043,0.04,0.02,0.055,0.047,0.04,0.02,0.0810946638440408,0.0684455532033674
"51",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.05,0.95,0.063,0.063,0.04,0.04,0.062,0.063,0.04,0.04,0.062,0.063,0.04,0.04,0.071,0.067,0.04,0.04,0.109192885125388,0.083894663844041
"52",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.05,0.95,0.074,0.083,0.04,0.06,0.074,0.083,0.04,0.06,0.074,0.083,0.04,0.06,0.087,0.087,0.04,0.06,0.138091106406735,0.100143774484715
"53",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.05,0.95,0.087,0.103,0.04,0.08,0.087,0.103,0.04,0.08,0.087,0.103,0.04,0.08,0.104,0.107,0.04,0.08,0.167789327688082,0.117192885125388
"54",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.05,0.95,0.099,0.123,0.04,0.1,0.099,0.123,0.04,0.1,0.099,0.123,0.04,0.1,0.12,0.127,0.04,0.1,0.198287548969429,0.135041995766061
"55",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.05,0.95,0.06,0.035,0.06,0,0.06,0.035,0.06,0,0.06,0.035,0.06,0,0.06,0.04,0.06,0,0.0830946638440411,0.0830946638440411
"56",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.05,0.95,0.071,0.055,0.06,0.02,0.071,0.055,0.06,0.02,0.071,0.055,0.06,0.02,0.076,0.06,0.06,0.02,0.111192885125388,0.0985437744847144
"57",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.05,0.95,0.084,0.075,0.06,0.04,0.083,0.075,0.06,0.04,0.083,0.075,0.06,0.04,0.092,0.08,0.06,0.04,0.140091106406735,0.114792885125388
"58",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.05,0.95,0.095,0.094,0.06,0.06,0.095,0.094,0.06,0.06,0.095,0.094,0.06,0.06,0.108,0.1,0.06,0.06,0.169789327688082,0.131841995766062
"59",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.05,0.95,0.107,0.114,0.06,0.08,0.107,0.114,0.06,0.08,0.107,0.114,0.06,0.08,0.124,0.12,0.06,0.08,0.200287548969429,0.149691106406735
"60",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.05,0.95,0.12,0.134,0.06,0.1,0.12,0.134,0.06,0.1,0.12,0.134,0.06,0.1,0.141,0.14,0.06,0.1,0.231585770250776,0.168340217047409
"61",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.05,0.95,0.08,0.046,0.08,0,0.08,0.046,0.08,0,0.08,0.046,0.08,0,0.08,0.053,0.08,0,0.113992885125388,0.113992885125388
"62",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.05,0.95,0.091,0.066,0.08,0.02,0.091,0.066,0.08,0.02,0.091,0.066,0.08,0.02,0.096,0.073,0.08,0.02,0.142891106406735,0.130241995766061
"63",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.05,0.95,0.103,0.086,0.08,0.04,0.103,0.086,0.08,0.04,0.103,0.086,0.08,0.04,0.112,0.093,0.08,0.04,0.172589327688082,0.147291106406735
"64",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.05,0.95,0.115,0.106,0.08,0.06,0.115,0.106,0.08,0.06,0.115,0.106,0.08,0.06,0.128,0.113,0.08,0.06,0.203087548969429,0.165140217047409
"65",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.05,0.95,0.128,0.126,0.08,0.08,0.128,0.126,0.08,0.08,0.128,0.126,0.08,0.08,0.145,0.133,0.08,0.08,0.234385770250776,0.183789327688082
"66",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.05,0.95,0.141,0.146,0.08,0.1,0.141,0.146,0.08,0.1,0.141,0.146,0.08,0.1,0.161,0.153,0.08,0.1,0.266483991532123,0.203238438328756
"67",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.05,0.95,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.067,0.1,0,0.146491106406735,0.146491106406735
