"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"43",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.05,0.95,0.068,0.097,0.05,0.079,0.069,0.088,0.05,0.069,0.0256982212813469,0.0130491106406735
"44",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.05,0.95,0.172,0.173,0.077,0.079,0.154,0.157,0.066,0.068,0.052596442562694,0.0399473319220206
"45",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.05,0.95,0.362,0.282,0.159,0.078,0.304,0.258,0.113,0.068,0.081094663844041,0.0684455532033676
"46",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.05,0.95,0.591,0.416,0.29,0.077,0.494,0.385,0.189,0.067,0.111192885125388,0.0985437744847145
"47",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.05,0.95,0.788,0.559,0.453,0.077,0.681,0.524,0.29,0.067,0.142891106406735,0.130241995766062
"48",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.05,0.95,0.912,0.692,0.619,0.076,0.827,0.657,0.407,0.066,0.176189327688082,0.163540217047409
"49",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.05,0.95,0.124,0.246,0.05,0.169,0.129,0.208,0.05,0.125,0.0521964425626941,0.0268982212813472
"50",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.05,0.95,0.288,0.376,0.077,0.167,0.268,0.326,0.065,0.124,0.0798946638440411,0.0545964425626943
"51",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.05,0.95,0.514,0.521,0.156,0.164,0.455,0.464,0.111,0.122,0.109192885125388,0.0838946638440411
"52",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.05,0.95,0.73,0.66,0.284,0.162,0.648,0.603,0.185,0.12,0.140091106406735,0.114792885125388
