nmz,ndz,a,c,e,g,b,x,prs,A,t1,t2,t3,t4,t5,t6
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0.05,0,0.1,0.9,8.291,1.972,1.778,8.291,1.972,1.778
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0,0,0.15,0.85,-0,-0,-0,-0,-0,-0
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0,0,0.15,0.85,-0,-0,-0,-0,-0,-0
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0,0,0.15,0.85,17.117,11.867,-0,17.117,11.867,-0
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0,0,0.15,0.85,17.073,12.056,-0,17.073,12.056,-0
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0,0,0.15,0.85,4.595,3.242,-0,4.595,3.242,-0
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0,0,0.15,0.85,4.618,3.324,-0,4.618,3.324,-0
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0.1,0,0.15,0.85,17.134,-0,11.721,17.134,-0,11.721
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0.1,0,0.15,0.85,16.351,-0,11.403,16.351,-0,11.403
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0.1,0,0.15,0.85,50.32,10.357,10.659,50.32,10.357,10.659
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0.1,0,0.15,0.85,48.536,10.399,10.33,48.536,10.398,10.33
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0.1,0,0.15,0.85,30.409,2.823,11.195,30.409,2.823,11.195
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0.1,0,0.15,0.85,29.184,2.854,10.868,29.184,2.854,10.868
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0.05,0,0.15,0.85,4.233,-0,2.966,4.233,-0,2.966
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0.05,0,0.15,0.85,4.036,-0,2.887,4.036,-0,2.887
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0.05,0,0.15,0.85,29.576,11.085,2.707,29.576,11.085,2.707
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0.05,0,0.15,0.85,28.832,11.191,2.623,28.832,11.191,2.623
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0.05,0,0.15,0.85,13.255,3.025,2.838,13.255,3.025,2.838
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0.05,0,0.15,0.85,12.84,3.079,2.756,12.84,3.079,2.756
